Day,aliveAnimals,nOfGrass,genotypesMode,avgEnergy,avgLifeTime,avgNOfKids
41,,88,,,,
42,,89,,,,
43,,90,,,,
44,,90,,,,
45,,90,,,,
46,,91,,,,
47,,92,,,,
48,,93,,,,
49,,95,,,,
50,,96,,,,
51,,96,,,,
52,,97,,,,
53,,97,,,,
54,,97,,,,
55,,97,,,,
56,,97,,,,
57,,97,,,,
58,,97,,,,
59,,97,,,,
60,,98,,,,
61,,99,,,,
62,,99,,,,
63,,99,,,,
64,,99,,,,
65,,100,,,,
66,,100,,,,
67,,100,,,,
68,,100,,,,
69,,100,,,,
70,,100,,,,
71,,100,,,,
72,,100,,,,
73,,100,,,,
74,,100,,,,
75,,100,,,,
76,,100,,,,
77,,100,,,,
78,,100,,,,
79,,100,,,,
80,,100,,,,
81,,100,,,,
82,,100,,,,
83,,100,,,,
84,,100,,,,
85,,100,,,,
86,,100,,,,
87,,100,,,,
88,,100,,,,
89,,100,,,,
90,,100,,,,
91,,100,,,,
92,,100,,,,
93,,100,,,,
94,,100,,,,
95,,100,,,,
96,,100,,,,
97,,100,,,,
98,,100,,,,
99,,100,,,,
100,,100,,,,
101,,100,,,,
102,,100,,,,
103,,100,,,,
104,,100,,,,
105,,100,,,,
106,,100,,,,
107,,100,,,,
108,,100,,,,
109,,100,,,,
110,,100,,,,
111,,100,,,,
112,,100,,,,
113,,100,,,,
114,,100,,,,
115,,100,,,,
116,,100,,,,
117,,100,,,,
118,,100,,,,
119,,100,,,,
120,,100,,,,
121,,100,,,,
122,,100,,,,
